判定,No.,優先度,カテゴリ,掲載日,タイトル,問題,解答,URL,コメント
,22,中,,2025/2/26,2024年度Daigasグループ企業理念 意見交換会レポート 私の仕事×3つのマインド,Daigas グループでは、毎年 10 月を「①」としている。,①グループ企業理念月間,URL,株価は別のとこでも問題つくっていそう
,21,中,,2025/3/12,＼来てや！万博／博覧会協会へ出向中社員が語る万博の魅力,大阪・関西万博2025の象徴ともいえる「①」は、世界最大級の木造建築物！ 全長約2km・建築面積約6万㎡・高さ12m（外側20m）・内径約615mという大きさで、東日本大震災で甚大な被害を受けた福島県浪江町で製材した集成木材が使用されている。,①大屋根リング,URL,人的資本情報→人材育成方針、社内環境整備方針、女性管理職比率等の情報
,20,中,,2025/3/19,＼春季キャンプを突撃／シーズンインした硬式野球部の熱気を動画でお届け！,硬式野球部は、「①」をスローガンに日本一を目指す。,①突覇,URL,
,19,中,大阪・関西万博、広報部,2025/4/9,＼まもなく開幕！／ガスパビリオンの現在地Vol.03,ガスパビリオンおばけワンダーランドは、「①」をつけておばけと一緒に未来に向かって化ける体験ができるエンターテインメントパビリオン。「ミッチー」の声には「鬼滅の刃」我妻善逸役でもおなじみの人気声優「②」さんを起用,"①XRゴーグル
②下野紘",URL,
,14,中,,2025/4/16,皆さんの組織でも変化を感じますか？3年目を迎えたDaigas X,「変わり続けられる会社」を目指し、皆さんの業務や働き方を見直す「①」は3年目を迎えた。2024年度は、「②」年として進め、2025年度は「③」年として活動を進める,"①Daigasトランスフォーメーション（DaigasX)
②各組織・個人がアクションを実践する
③実践を組織全体に広げる",URL,
,15,中,,2025/4/16,～リニューアル後の評価は！？～がす燈に関するアンケート結果のご報告！,大阪ガス広報部は、Daigasグループの情報をタイムリーに伝えるとともに、「①」ため、グループ内の広報活動に取り組んでいます。,①グループ一体感の醸成や活気あふれる風土づくりに貢献する,URL,
,12,中,シンボルスポーツ,2025/4/23,選手の素顔に迫る！～硬式野球部「29のコト」～,硬式野球部監督は「①」,①峰岡　格,URL,特に書くことなかったので、万博の概要を問題にしました
,10,高,カーボンニュートラル,2025/5/12,5分でわかる!? Daigasグループのカーボンニュートラル最前線 前篇 エネトラ2050が出たらしいで！,"「①」では、Daigasグループの2050年までの低・脱炭素化社会に向けた取組をしめした。
CN実現に向けてDaigasグループが大事にしていることは「②」、S安全性を大前提にしつつ、３つのEの中でも供給安定性を最も重視しつつ、環境性・経済性の様々な選択肢をお客様にご提案していく。","①エネルギートランジション2050
②S+3E",URL,
,11,高,カーボンニュートラル,2025/5/12,5分でわかる!? Daigasグループのカーボンニュートラル最前線 前篇 エネトラ2051が出たらしいで！,"熱エネルギーのCN化に向けて、「①」の導入をすすめる。「①」は天然ガスはほぼ同じ成分のため、都市ガス製造設備や、導管網、ガス機器もそのまま使うことができる。
Daigasグループは「①」を2030年に「②」％導入することを目指している。","①e-メタン
②１",URL,特に問題でないと思います
,9,高,120周年,2025/5/19,Daigasグループ120周年！ダイナミックに盛り上げます！,"Daigasグループは、2025年「①」月「②」日に創業「③」周年を迎えます。
Daigasグループ「③」周年のキャッチコピーが「④」に決定！
周年記念CM 楽曲提供アーティストは「⑤」
10周年を迎えるハグミュージアムは、国民的アニメ「⑥」とコラボしたイベントを開催予定","①10
②19
③120
④Dynamic Daigas Group
⑤10-FEET
⑥クレヨンしんちゃん",URL,表彰の紹介だけなので、問題はつくっていません
,5,高,決算,2025/5/29,2024年度決算～徹底解説！グループ経営実績～,"ガス販売実績は、家庭用業務用合わせて、「①」m^3。ガス供給件数は、「②」件とガス自由化以降2年連続で増加（＋1.3％）。
電力販売実績は、家庭用業務用合わせて、「③」kWh。低圧電気供給件数は、「④」件","①6,650百万
②5,114千
③16,982百万
④1,922千",URL,
,6,高,決算,2025/5/29,2024年度決算～徹底解説！グループ経営実績～,「国内エネルギー」のセグメント利益は、原料価格等の変動が販売単価に反映されるまでのタイムラグによる増益影響が縮小したことなどにより、「①減収/増益」となりました。「海外エネルギー」のセグメント利益は、フリーポート LNG プロジェクトの液化基地の操業停止影響などにより、「②減収/増益」となりました。「ライフ＆ビジネス ソリューション」のセグメント利益は、「③減収/増益」となりました。,"①減益
②減益
③減益",URL,
,1,高,カーボンニュートラル,2025/6/10,"後篇公開！ 5分でわかる!? Daigasグループのカーボンニュートラル最前線
",エネルギートランジション2050では、2040年に向けて複数シナリオを想定。①シナリオ、②シナリオ、③シナリオ。このシナリオにおける2040年想定は、CO2排出削減量④トン、CO2排出削減貢献量⑤トン、再エネ普及貢献量⑥kW、ガスCN化率⑦％。,"①革新技術拡大
②技術進展
③低炭素化推進
④1000万トン
⑤1500万トン
⑥1000万トン
⑦40％",URL,執行役員の名前とかでないだろうと予想・・・。
,2,高,カーボンニュートラル,2025/6/10,"後篇公開！ 5分でわかる!? Daigasグループのカーボンニュートラル最前線
","Daigasグループの2030年度再エネ普及貢献量①kWを目指しているが、2025年3月時点ですでに②kWまできている。
CO2をマイナスにしていく③の取り組みも進める。例えば排出したCO2を地下の安定した地層に貯める④、森林を適切に開発・管理することでCO2吸収能力を高める⑤を行う。","①500万kW
②370万kW
③ネガティブエミッション
④CCS
⑤森林吸収",URL,
,45,,,,,,,,
,46,,,,,,,,
,47,,,,,,,,
,48,,,,,,,,
,49,,,,,,,,
,50,,,,,,,,
,51,,,,,,,,
,52,,,,,,,,
,53,,,,,,,,
,54,,,,,,,,
,55,,,,,,,,
,56,,,,,,,,
,57,,,,,,,,
,58,,,,,,,,
,59,,,,,,,,
,60,,,,,,,,
,61,,,,,,,,
,62,,,,,,,,
,63,,,,,,,,
,64,,,,,,,,
,65,,,,,,,,
,66,,,,,,,,
,67,,,,,,,,
,68,,,,,,,,
,69,,,,,,,,
,70,,,,,,,,
,71,,,,,,,,
,72,,,,,,,,
,73,,,,,,,,
,74,,,,,,,,
,75,,,,,,,,
,76,,,,,,,,
,77,,,,,,,,
,78,,,,,,,,
,79,,,,,,,,
,80,,,,,,,,
,81,,,,,,,,
,82,,,,,,,,
,83,,,,,,,,
,84,,,,,,,,
,85,,,,,,,,
,86,,,,,,,,
,87,,,,,,,,
,88,,,,,,,,
,89,,,,,,,,
,90,,,,,,,,
,91,,,,,,,,
,92,,,,,,,,
,93,,,,,,,,
,94,,,,,,,,
,95,,,,,,,,
,96,,,,,,,,
,97,,,,,,,,
,98,,,,,,,,
,99,,,,,,,,
,100,,,,,,,,
,101,,,,,,,,
,102,,,,,,,,
,103,,,,,,,,
,104,,,,,,,,
,105,,,,,,,,
,106,,,,,,,,
,107,,,,,,,,
,108,,,,,,,,
,109,,,,,,,,
,110,,,,,,,,
,111,,,,,,,,
,112,,,,,,,,
,113,,,,,,,,
,114,,,,,,,,
,115,,,,,,,,
,116,,,,,,,,
,117,,,,,,,,
,118,,,,,,,,
,119,,,,,,,,
,120,,,,,,,,
,121,,,,,,,,
,122,,,,,,,,
,123,,,,,,,,
,124,,,,,,,,
,125,,,,,,,,
,126,,,,,,,,
,127,,,,,,,,
,128,,,,,,,,
,129,,,,,,,,
,130,,,,,,,,
,131,,,,,,,,
,132,,,,,,,,
,133,,,,,,,,
,134,,,,,,,,
,135,,,,,,,,
,136,,,,,,,,
,137,,,,,,,,
,138,,,,,,,,
,139,,,,,,,,
,140,,,,,,,,
,141,,,,,,,,
,142,,,,,,,,
,143,,,,,,,,
,144,,,,,,,,
,145,,,,,,,,
,146,,,,,,,,
,147,,,,,,,,
,148,,,,,,,,
,149,,,,,,,,
,150,,,,,,,,
,151,,,,,,,,
,152,,,,,,,,
,153,,,,,,,,
,154,,,,,,,,
,155,,,,,,,,
,156,,,,,,,,
,157,,,,,,,,
,158,,,,,,,,
,159,,,,,,,,
,160,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
