判定,No.,掲載月日,会社,プレスタイトル,問題,解答,,,,,
,13,2025/4/24,その他,【社宅管理担当者必見】紙・表計算ソフトに潜む社宅管理のリスクを解消するための解決策とは？,"社宅管理専用システム「①」を開発・提供する株式会社宇部情報システム（以下、宇部情報システム）は、紙や表計算ソフトでの社宅管理に潜むリスクを解説したホワイトペーパーを4月4日に公開しました。
福利厚生として借上げ社宅や会社保有寮を社員に提供している企業様において、ガバナンスを守るために重要な要素となる内容を分かりやすく解説しています。",①借上くん（https://www.uis-inf.co.jp/kariage/）,,,,,
,14,2025/4/24,大阪ガス,自己株式の消却に関するお知らせについて,"当社は、自己株式の消却を行うことについて決定しましたので、お知らせいたします。
添付ファイルをご覧ください",ー,,,,,
,15,2025/4/24,Daigasエナジー,ユキグニファクトリー株式会社の主要生産拠点に対して、オフサイトPPAを活用した再生可能エネルギー電力の全量供給を開始,"大阪ガス株式会社（社長：藤原正隆、本社：大阪市中央区）は、100%子会社であるDaigasエナジー株式会社（社長：福谷博善、本社：大阪市中央区）を通じて、2025年4月より、ユキグニファクトリー株式会社（社長：湯澤尚史、本社：新潟県南魚沼市、以下「ユキグニファクトリー」）の主要生産拠点に対し、再生可能エネルギー(以下「再エネ」)100%の電力を供給する電気料金メニュー「①」の供給を開始しました。使用電力量の②は太陽光発電のオフサイトPPAによる電力供給で賄う予定です。この取り組みにより、年間約43,000トンのCO2削減が期待できます。

 ","①D-Green
②約20％",,,,,
,16,2025/4/24,大阪ガスネットワーク,遠隔業務へのスマートメーターの活用開始について,大阪ガスネットワーク株式会社（社長：村田　稔 、以下「大阪ガスネットワーク」）は、東京ガスネットワーク株式会社、東邦ガスネットワーク株式会社と共同開発しているスマートメーターシステム＊1を利用し、スマートメーターを通じた遠隔検針等の業務を①より順次、開始します。,①2025年5月,,,,,
,17,2025/4/25,大阪ガス,2025年6月ガス料金の原料費調整について,大阪ガス株式会社（社長：藤原 正隆）は、2025年1月～2025年3月の平均原料価格に基づき、2025年6月検針分の一般料金に適用する単位料金を以下の通り調整いたします。この調整により今月の標準家庭におけるガス料金は①（税込）になります。,"①6,555円",,,,,
,18,2025/4/25,その他,"堺市初・西日本最大級(※）のマンション建替え事業
《マンションストック長寿命化等モデル事業 採択プロジェクト》
しもついけ
トモニアルシティ（下野池第２住宅マンション建替え事業）
マンションギャラリー４月２６日（土）開設
物件エントリー者様より予約制にて順次事前案内会へご案内いたします。","社(本社：東京都千代田区／代表取締役社長：大和久裕二）、三菱地所レジデンス株式会社（本社：東
京都千代田区／代表取締役社長執行役員：宮島正治）、大阪ガス都市開発株式会社（本社：大阪市中央
区／代表取締役社長友田泰弘）、和田興産株式会社（本社：神戸市中央区／代表取締役社長：溝本俊
哉）の共同企業体５社は、大阪府堺市北区で築５０年を超える団地の建替え事業（下野池第２住宅建替
え事業（以下「本事業」という））に参画し、地権者様と共に建替えの合意形成、建替組合設立、新築
工事着工と着実に歩みを進めて参りました。
この度、本事業において新築する分譲マンション「①」の販売
開始に向けて、２０２５年４月２６日（土）にマンションギャラリーを開設することになりましたので
お知らせいたします。
すでに物件エントリーいただいているお客様より、予約制にて順次事前案内会へご案内させて頂きます。",①TOMONIAL CITY（トモニアルシティ）,,,,,
,19,2025/4/25,その他,信州大学工学部に「共同研究講座：カーボンニュートラル先進吸着材講座」を開設,2025年4月1日、大阪ガスケミカル株式会社は、カーボンニュートラルの実現に必須となる高機能炭素系吸着材の開発と、そのための研究人材の育成を目的に、①に「カーボンニュートラル先進吸着材講座」を開設しました。,①信州大学工学部,,,,,
,20,2025/4/25,その他,代表取締役社長および役員変更のお知らせ,さて、本日開催されました定時株主総会並びに取締役会において、下記のとおり代表取締役社長および役員が選任され、それぞれ就任しましたことをお知らせいたします。,ー,,,,,
,21,,,,,,,,,,
,22,,,,,,,,,,
,23,,,,,,,,,,
,24,,,,,,,,,,
,25,,,,,,,,,,
,26,,,,,,,,,,
,27,,,,,,,,,,
,28,,,,,,,,,,
,29,,,,,,,,,,
,30,,,,,,,,,,
,31,,,,,,,,,,
,32,,,,,,,,,,
,33,,,,,,,,,,
,34,,,,,,,,,,
,35,,,,,,,,,,
,36,,,,,,,,,,
,37,,,,,,,,,,
,38,,,,,,,,,,
,39,,,,,,,,,,
,40,,,,,,,,,,
,41,,,,,,,,,,
,42,,,,,,,,,,
,43,,,,,,,,,,
,44,,,,,,,,,,
,45,,,,,,,,,,
,46,,,,,,,,,,
,47,,,,,,,,,,
,48,,,,,,,,,,
,49,,,,,,,,,,
,50,,,,,,,,,,
,51,,,,,,,,,,
,52,,,,,,,,,,
,53,,,,,,,,,,
,54,,,,,,,,,,
,55,,,,,,,,,,
,56,,,,,,,,,,
,57,,,,,,,,,,
,58,,,,,,,,,,
,59,,,,,,,,,,
,60,,,,,,,,,,
,61,,,,,,,,,,
,62,,,,,,,,,,
,63,,,,,,,,,,
,64,,,,,,,,,,
,65,,,,,,,,,,
,66,,,,,,,,,,
,67,,,,,,,,,,
,68,,,,,,,,,,
,69,,,,,,,,,,
,70,,,,,,,,,,
,71,,,,,,,,,,
,72,,,,,,,,,,
,73,,,,,,,,,,
,74,,,,,,,,,,
,75,,,,,,,,,,
,76,,,,,,,,,,
,77,,,,,,,,,,
,78,,,,,,,,,,
,79,,,,,,,,,,
,80,,,,,,,,,,
,81,,,,,,,,,,
,82,,,,,,,,,,
,83,,,,,,,,,,
,84,,,,,,,,,,
,85,,,,,,,,,,
,86,,,,,,,,,,
,87,,,,,,,,,,
,88,,,,,,,,,,
,89,,,,,,,,,,
,90,,,,,,,,,,
,91,,,,,,,,,,
,92,,,,,,,,,,
,93,,,,,,,,,,
,94,,,,,,,,,,
,95,,,,,,,,,,
