判定,No.,掲載月日,会社,プレスタイトル,問題,解答,,,,,
,11,2025/3/24,大阪ガス,兵庫県姫路市と木質資源を活用した脱炭素化に関する包括協定を締結～バイオマス燃料の地産地消化を目指して～,"大阪ガスは、姫路市と「木質資源のエネルギー利用を始めとする脱炭素化に資するエネルギー関連の取組に関する連携と協力に関する包括協定」を締結。
同市に位置する、[①]で木質燃料の地産地消と再エネ供給を進める大阪ガスが、姫路市内の森林資源のエネルギー用とでの利活用を拡大する。
大阪ガスの子会社である、[②]と姫路市は、夢咲山で早生樹を育成し、木質バイオマス燃料として利用するプロジェクトを推進","①広畑バイオマス発電所
②株式会社グリーンパワーフュエル（GPF）",プレス,夢咲山ってファンシーな山やな,,,
,12,2025/3/24,大阪ガス,自己株式の取得状況および取得終了に関するお知らせについて,2025年3月1日～3月24日までに取得した自己株式の株式総数は、[①]株、取得価格の総額は[②]円であった。,"①436,500
②1,476,132,090",プレス,,,,
,13,2025/3/25,大阪ガス,東京大学 先端科学技術研究センターとの将来の社会課題解決に向けた包括連携の開始～カーボンニュートラルや気候変動対策などでの新たなイノベーション創出に向けて～,大阪ガスは[①]と、包括連携協定を締結。当社単独では得られない研究開発テーマの創出や、両者の交流による研究者の育成およびネットワークの形成を進める。,①東大先端研,プレス,,,,
,14,2025/3/26,大阪ガス,～脱炭素社会につながるまちづくりに向けて、地域のお客様との連携を強化～　ご家庭での太陽光発電の余剰電力（卒FIT再エネ電力）買取プログラム『阪急エネトス』　2025年7月からスタート,"[①]株式会社と大阪ガスは、一般のご家庭でFIT（再生可能エネルギーの固定価格買取制度）の適用期間を終えた太陽光発電システムで発電された余剰電力の買取プログラム[②]を開始する。
大阪ガスがご家庭で発電された卒FIT再エネ電力を買い取り、阪急電鉄に[③]付きの電力として供給する。","①阪急電鉄
②阪急エネトス
③再エネ価値（環境価値）",プレス,,,,
,15,2025/3/28,大阪ガス,世界初、生成AIを活用してカーボンクレジットの品質を評価するWebサービス「GreenChecker」の提供開始について,大阪ガスは、生成AIを活用してカーボンクレジットの品質を評価するWebサービス[①]の提供を開始。[①]は、当社が構築した本AIシステムを内蔵しており、生成AIにより、カーボンクレジット創出プロジェクトの計画書と予め設定した複数の基準との整合性を評価することで、クレジットの品質を短時間でチェックする。,①GreenChecker（グリーン・チェッカー）,プレス,カーボンクレジット：温室効果ガスの排出量削減や吸収量を企業間で売買できる仕組み,,,
,16,2025/3/28,大阪ガス,2025年5月ガス料金の原料費調整について,2025年5月検針分の一般料金に適用する単位料金を示した。これにより5月の標準家庭の料金は[①]円になる。,"①6,579",プレス,,,,
,17,2025/3/28,大阪ガスマーケティング,エネファーム販売における不適切行為についてのお詫びとご報告,"大阪ガスマーケティングの社員が、給湯機器の購入を検討されているお客さまに、エネファームを設置いただいた場合の光熱費試算と、エネファーム以外の給湯機器を設置いただいた場合の光熱費試算の比較による光熱費低減メリットの試算金額を誤認させるような資料提示していた。
対象のお客様数は[①]件、関与した従業員数は[②]名。","①919
②25",プレス,反省案件、チームのBBQ中止になりました・・。,,,
,18,2025/3/31,大阪ガス,定置用蓄電池向けの劣化診断・寿命予測技術を開発～安全性と経済性を両立する最適運用システム構築を目指して～,"大阪ガスと100％子会社の株式会社[①]は、[①]が持つ技術を活用し、系統用蓄電池などを対象とした、定置用蓄電池向けの[②]および[③]の技術を開発した。
両社はこれらの技術を定置用蓄電池向けに適用し、運用中の電圧、電流、温度といったモニタリングデータなどから蓄電池の劣化状態を診断することに加え、運用パターンごとの将来劣化を予測する技術を開発","①KRI
②劣化診断
③寿命予測",プレス,"弊チームのプレスです！何でも聞いてください。
他社はサンプルデータを大量に取得する技術みたいですが、大阪ガスは電圧、電流、温度から予測するので、大量のサンプルデータが必要ないところが強みです！",,,
,19,,,,,,,,,,
,20,,,,,,,,,,
,21,,,,,,,,,,
,22,,,,,,,,,,
,23,,,,,,,,,,
,24,,,,,,,,,,
,25,,,,,,,,,,
,26,,,,,,,,,,
,27,,,,,,,,,,
,28,,,,,,,,,,
,29,,,,,,,,,,
,30,,,,,,,,,,
,31,,,,,,,,,,
,32,,,,,,,,,,
,33,,,,,,,,,,
,34,,,,,,,,,,
,35,,,,,,,,,,
,36,,,,,,,,,,
,37,,,,,,,,,,
,38,,,,,,,,,,
,39,,,,,,,,,,
,40,,,,,,,,,,
,41,,,,,,,,,,
,42,,,,,,,,,,
,43,,,,,,,,,,
,44,,,,,,,,,,
,45,,,,,,,,,,
,46,,,,,,,,,,
,47,,,,,,,,,,
,48,,,,,,,,,,
,49,,,,,,,,,,
,50,,,,,,,,,,
,51,,,,,,,,,,
,52,,,,,,,,,,
,53,,,,,,,,,,
,54,,,,,,,,,,
,55,,,,,,,,,,
,56,,,,,,,,,,
,57,,,,,,,,,,
,58,,,,,,,,,,
,59,,,,,,,,,,
,60,,,,,,,,,,
,61,,,,,,,,,,
,62,,,,,,,,,,
,63,,,,,,,,,,
,64,,,,,,,,,,
,65,,,,,,,,,,
,66,,,,,,,,,,
,67,,,,,,,,,,
,68,,,,,,,,,,
,69,,,,,,,,,,
,70,,,,,,,,,,
,71,,,,,,,,,,
,72,,,,,,,,,,
,73,,,,,,,,,,
,74,,,,,,,,,,
,75,,,,,,,,,,
,76,,,,,,,,,,
,77,,,,,,,,,,
,78,,,,,,,,,,
,79,,,,,,,,,,
,80,,,,,,,,,,
,81,,,,,,,,,,
,82,,,,,,,,,,
,83,,,,,,,,,,
,84,,,,,,,,,,
,85,,,,,,,,,,
,86,,,,,,,,,,
,87,,,,,,,,,,
,88,,,,,,,,,,
,89,,,,,,,,,,
,90,,,,,,,,,,
,91,,,,,,,,,,
,92,,,,,,,,,,
,93,,,,,,,,,,
,94,,,,,,,,,,
,95,,,,,,,,,,
