判定,No.,カテゴリ,掲載日,タイトル,問題,解答
,14,なかま,2024/5/22,【柔道部】動画有り！オール一本勝ちで長谷川選手が優勝！神戸市民体育大会,4月28日（日）に「第65回神戸市民体育大会」が神戸市立王子スポーツセンターで開催され、大阪ガス柔道部から長谷川 樹希選手（OSS 警備防災部）が①に出場しました。,①男子三段の部
,15,なかま,2024/5/22,【全国大会出場】葺合ポケモンカードゲーム部（葺合ポケカ部）,"大阪ガスマーケティング(株)リビング技術部 兵庫リビング技術チーム　葺合（ふきあい）ポケモンカードゲーム部（葺合ポケカ部）は、5/3（金・祝）、5/4（土・祝）に行われた「①」に出場しました。
出場者3,200人、札幌ドームで開催されたポケモンカードゲームの全国大会です。",①ポケモンカードゲームチャンピオンズリーグ2024札幌
,16,しごと,2024/5/27,【「LNGバンカリング事業」をPR】海事・船舶の日本最大級イベント「Sea Japan」に出展,"4月10日（水）から12日（金）にかけ、2年に1度開催される海事・船舶の展示会「①」が東京ビッグサイトで開催されました。
大阪ガスが昨年、事業参画の意思決定をした船舶向けのLNG供給事業のPRを目的として、事業範囲である大阪湾、瀬戸内エリアでLNGの供給を受ける可能性のある造船会社、船舶運航会社などを主なターゲットに据えブースを出展しました。",①Sea Japan
,17,しごと,2024/5/29,【祝100周年！】大阪ガスクッキングスクールで記念料理講習会開催！,①年に街のガス灯からガス供給事業を開始した大阪ガスは、都市ガスをより身近に使っていただくために、年に②大阪ガスクッキングスクールの前身となる「割烹研究室」を創設。当時珍しかったガス火での調理の普及に取り組みました。,①1905②1924
,18,なかま,2024/6/4,【奨学生30人が参加！】東ティモール国立大学への奨学金贈呈式を開催しました,4月25日（木）①で、当財団からの奨学金の贈呈式が開催され、加藤 浩嗣専務理事が参加しました。,①東ティモール国立大学（UNTL）
,19,なかま,2024/6/4,シャクアラ大学と関西学院大学生が「オンライン交流会」を開催しました！,3月28日（木）、①のシャクアラ大学と関西学院大学の大学生の皆さんとの間で、オンライン交流会が開催されました。,①インドネシア
,20,なかま,2024/6/10,今年で10回目！ ハグミュージアムで小学生が田植えに挑戦！,大阪ガスの①のショールーム「hu+gMUSEUM（ハグミュージアム）」の屋上水田にて、5月14日(火)、地元の小学生186人が田植え体験を行いました。,①食と住まい
,21,なかま,2024/6/10,【2泊3日：ボランティア参加報告】能登半島地震の被災地「中能登」へ,5月24日(金)～26日(日)、大阪ボランティア協会主催の被災地ボランティアツアーにDaigasグループより5人が参加しました。,能登半島地震
,22,なかま,2024/6/10,【陸上競技部】4選手が好走！第68回関西実業団陸上競技選手権大会,5月31日（金）～6月2日（日）にヤンマースタジアム長居にて開催された第68回 関西実業団陸上競技選手権大会に陸上競技部（①）から9選手が出場し、4選手が好走いたしました。,①長距離
,23,なかま,2024/6/11,びわ湖ブルーエナジーが「第40回大津っ子まつり」に出展,"5月19日（日）に大津市において、「①」が開催されました。あいにくの空模様でしたが、約18,000人もの来場があり、子どもたちやそのご家族で大いににぎわいました。",①第40回大津っ子まつり
,24,経営,2024/6/14,藤原社長がご見学！インドで事業展開するグループ各社・出資先,5月上旬、①で事業を展開するDaigasグループ各社・出資先の拠点などを藤原社長がご見学されました。,①インド
,25,なかま,2024/6/18,【柔道部/動画有】強豪ぞろいの第1部に初参戦！初勝利ならずも健闘！西日本実業柔道団体対抗大会,5月12日（日）に①のベイコム総合体育館で開催された西日本実業柔道団体対抗大会に、大阪ガス柔道部から3チーム計15人が出場しました。,①尼崎市
,26,しごと,2024/6/28,【万博へ移設予定】舞洲工場にメタネーション実証施設が完成！,"この度舞洲工場に完成したメタネーション（※）実証施設を用いて、生ゴミからe-メタンを生み出し、ガス調理機器で利用する実証を行います。
この実証により、CO2排出量の低減を図り、①を目指しています。",①エネルギーの地産地消
,27,しごと,2024/6/28,【子ども食堂を支援！】「ALIA主催 こども応援プロジェクト」第3弾に参画します,大阪ガスは、①が主催する「こども食堂」の支援を目的とした「ALIAこども応援プロジェクト」の趣旨に賛同し、第1弾、第2弾にひきつづき、第3弾にも参画します。,①一般社団法人リビングアメニティ協会（ALIA）
,28,しごと,2024/6/28,【環境に優しくするとおトクになる!?】大阪ガスの新電気料金メニューが登場！,蓄電池やEV（電気自動車）をご利用の方向けに、電力需要の負荷平準化とともに電気代低減に貢献できるプラン「①」「MY EVプラン」が新電気料金メニューとして登場しました。,①MY蓄電プラン＋
,29,しごと,2024/7/1,【「CELポータル」開設！】エネルギー・文化研究所のすべてがわかる！,"このたび、エネルギー・文化研究所（通称：CEL）のポータルサイト「CELポータル」を作成・公開しました。
CELは1986年、大阪ガスの①のひとつとして設立された企業内研究所です。",①創業80周年記念事業
,30,経営,2024/7/1,藤原社長が舞洲のメタネーション実証プラントを視察！,"6月3日、藤原社長が、舞洲のごみ焼却工場内に建設したバイオメタネーション実証設備を視察されました。
バイオメタネーション実証設備は、①からの委託を受け、エンジニアリング部が大阪広域環境施設組合舞洲工場内に昨年7月より建設を進めてきたもので、本年5月に完成しました。",①環境省
,31,なかま,2024/7/9,【陸上競技部】日本選手権男子100mで坂井選手が連覇！パリオリンピック日本代表内定！,6月27日（木）～30日（日）新潟・デンカビックスワンスタジアムで「第108回日本陸上競技選手権大会」が行われ、①決勝に出場した坂井選手（ＯＧマーケ人事総務部）が昨年に続き優勝し、江里口コーチ（OG人事部）以来の連覇を達成しました,①男子100ｍ
,32,なかま,2024/7/9,【サッカー部】2024年度大阪府社会人サッカー1部リーグ開幕,6月16日（日）に、①にて2024年度大阪府社会人サッカープラチナ・1部リーグが開幕しました。,①J-GREEN堺
,33,なかま,2024/7/16,【バドミントン部】全日本実業団選手権に出場！,6月19日（水）から23日（日）に①にて行われました厚生労働大臣杯第74回全日本実業団選手権大会?に参戦してまいりました。,①宮城県仙台市
,34,なかま,2024/7/16,【サッカー部】次こそ！大阪府社会人サッカー1部リーグ 2戦目も惜敗,"6月30日（日）、大阪府社会人サッカー1部リーグの2戦目を戦いました。
対戦相手は、昨季2部リーグから昇格した、大阪市中央区からJリーグ入りを目指す「①」。",①OsakaCitySC
,35,しごと,2024/7/17,「わたSHIGA輝く国スポ・障スポ」への企業協賛に対し感謝状をいただきました,"びわ湖ブルーエナジー(株)は、令和7年秋に開催される第79回国民スポーツ大会・第24回全国障害者スポーツ大会「①」に協賛し、大会PRロゴやマスコットキャラクターを取り入れたクリアファイル5,000部を作成し、実行委員会事務局に提供しました。",①わたSHIGA輝く国スポ・障スポ
,36,しごと,2024/7/22,迅速な消火対応で表彰授与～中央卸売市場青果棟火災,"5月10日、当社が管理受託している①の、青果棟2階のプレハブ小屋から出火が確認されました。
当社社員が火災報知器発報から消火活動まで、迅速に対応をしたため、プレハブ小屋のみの火災で収束し、大事には至りませんでした。",①大阪府中央卸売市場
,37,なかま,2024/7/22,【サッカー部】今季初勝利！大阪府社会人サッカー1部リーグ 3戦目は快勝,"7月14日（日）、大阪府社会人サッカー1部リーグの３戦目を戦い、  今季初勝利！
対戦相手は①さま。",①八尾大正クラブ
,38,なかま,2024/7/23,【陸上競技部】パリオリンピック陸上日本代表坂井選手の壮行会が行われました,7月11日（木）ガスビル本社・3Fホールで①に内定した坂井 隆一郎選手（ＯＧマーケ人事総務部）の壮行会が行われました。,①パリオリンピック陸上日本代表
,39,なかま,2024/8/1,【硬式野球部】都市対抗野球大会の補強選手の試合結果について,"大阪ガスから7名が補強選手として出場しておりました第95回都市対抗野球大会が終了し、三井選手
（OGM　SC部）が優秀選手に選出されるなど、各選手とも補強チームに貢献することができました。",ー
,40,なかま,2024/8/7,【弓道部 動画有】準優勝！「第20回都市間交流スポーツ京都大会 弓道競技」,7月14日（日）、京都市武道センターで「第20回都市間交流スポーツ京都大会 弓道競技」が開催されました。,ー
,41,なかま,2024/8/8,マレーシアと大阪府の中学生が「オンライン交流会」を開催しました！,"5月13日（月）から15日（水）にかけて、①と大阪府の中学生同士のオンライン交流会が、計4回にわたって開催されました。
この交流会は、当財団の『国際親善／相互理解を深める』という設立趣旨に沿って、大阪府教育庁ならびに財団の助成先であるマレーシア教育省への働きかけで実現したものです。",①マレーシア・サラワク州
,42,しごと,2024/8/13,【チャレンジ・カーボンニュートラル・コンソーシアム 】脱炭素社会実現へ！14社参画「CCNC」2024年度活動開始,環境に優しい製品が消費者に理解されて積極的に購入される市場を創出することを目的に、Daigasエナジーが起点となり設立されたのが「①（以下、 CCNC）」です。Daigasエナジーは脱炭素支援パートナーとして参加しています。,①チャレンジ・カーボンニュートラル・コンソーシアム
,43,なかま,2024/8/19,【サッカー部】強敵を相手に勝利し2連勝！大阪府社会人サッカー1部リーグ,8月4日（日）、大阪府社会人サッカー1部リーグの4戦目の対戦相手は今季２部から昇格した①さま。前線にJFL（Jリーグの下部リーグ）の得点王などサッカー経歴豊富な選手が多く在籍する、攻守共に能力の高いチームです。,①デューミラン大阪
,44,しごと,2024/8/20,「よみうり万博チャンネル」に出演！e-メタン実証を紹介,"大阪ガス（株）ガス製造E事業部エンジニアリング部では2025年大阪・関西万博会場においてe－メタン実証を実施予定です。
今回、読売新聞公式youtubeチャンネル「①」の取材を受け、7/26(金)にエンジニアリング部幡中部長ご出演のインタビュー動画がアップされました。",①よみうり万博チャンネル※1
,45,なかま,2024/8/20,【陸上競技部】坂井選手がパリ五輪リレーで入賞しました！,　8月1日（木）～8月11日（日）にパリオリンピック陸上日本代表として坂井 隆一郎選手（ＯＧマーケ人事総務部）が出場しました。陸上競技3日目の午前に行われた①の7組目に出場。同じ組には９秒台の自己ベスト記録を持つ選手が５人おり、とても厳しい組でした。,①100m予選
,46,なかま,2024/8/20,地域の夏祭り「柳まつり 豊岡おどり」に40人が参加しました,兵庫県豊岡市で毎年8月1日～2日に開催される「①」は、豊岡鞄のルーツである杞柳（きりゅう）細工の神様を祀っている「柳の宮神社」の例大祭で、但馬三大祭りのひとつとされ1939（昭和10）年から続いています。,①柳まつり
,47,しごと,2024/8/21,公式インスタグラム開設！びわ湖ブルーエナジー,"8月1日（木）、①の公式インスタグラムを開設しました。
これから、より多くの大津市民の皆さまに暮らしのお役立ち情報や、イベント報告などを発信していきます。また、社内のオフショットや大津市のおすすめランチ情報、大津市内外の旬スポットを適宜掲載していく予定です。",①びわ湖ブルーエナジー(株)
,48,なかま,2024/8/23,【11/30まで！ボランティア募集】 『びわ湖マラソン2025』第3回開催,"約60年続いた「びわ湖毎日マラソン」の伝統を受け継ぎ、市民マラソンとして生まれ変わった『①』。
来年3月9日（日）に『第3回びわ湖マラソン2025』が開催されます。",①びわ湖マラソン
,49,なかま,2024/8/23,【熱波のなかペンキ塗りなど】OGUSAニューヨーク事務所からボランティア報告が届きました！,OGUSAニューヨーク事務所のメンバーが、ニューヨーク州にある①で、今年2回目のボランティア活動を行いました。,①ワード・ポンド・リッジ保護区
,50,なかま,2024/8/23,"【陸上競技部】坂東選手が5,000mで自己記録を更新する好走！",7月13日（土）に開催されたホクレン・ディスタンスチャレンジ2024士別大会（士別市陸上競技場）に陸上競技部長距離から3人の選手が出場しました。本大会は強豪実業団や学生のほか、外国人選手も多数出場する大会でもあります。そのなかで坂東剛選手（DGEビジネス開発部）が①で自己記録を更新しました。,"5,000m"
,51,しごと,2024/8/26,在京メディア視察会を東京支社と開催！～Daigasグループの広報活動～,7月8日（月）、9日（火）の2日間、①と連携して新聞社の論説委員さまやテレビ局の解説委員さまと当社施設へお招きし、泉北製造所・発電所、カーボンニュートラルリサーチハブ、舞洲メタネーション実証設備、建築中のガスパビリオンの視察会を実施しました。,①東京支社
,52,なかま,2024/8/28,【サッカー部】3連勝で勝ち越し！大阪府社会人サッカー1部リーグ,8月11日（日）、大阪府社会人サッカー1部リーグの5戦目の対戦相手は①さま。,①FS.Compagnon（コパノン）
,53,なかま,2024/8/29,【「輪投げ」出店】芦屋浜の夏祭りの夜店で地域活性化に貢献！,8月3日（土）①主催の夏祭りイベントに「輪投げ店」を出店し、多くの参加者に楽しんでいただきました。,①芦屋浜自治連合会
,54,なかま,2024/9/3,【なかま】浅野選手が優勝！団体戦でも優勝！第10回大阪府実業団親睦射会,8月4日（日）、万博記念公園弓道場で「第10回大阪府実業団親睦射会」が開催されました。①で、浅野佳世子選手（OG DX企画部）が、見事、優勝しました！また、10チームが参加した団体戦でも、野々原久晴選手（OG総務部）、浅野選手、パナソニックHDさまとの混成チームが優勝しました！,①女子個人の部
,55,リフレッシュ,2024/9/4,"参加者募集！【9/24(火)】「未来を試せる集合住宅""NEXT21""オンラインツアー」Daigasよもやま開催！",2024年度はNEXT21の居住実験①周年。この機会に、国内外から注目され、評価されている「NEXT21」について知ってみませんか?,①30
,56,しごと,2024/9/4,資料も掲載！e-メタンの理解促進に向けたマスコミへの勉強会を日本ガス協会と共催！,7月25日（木）に、日本ガス協会企画部エネルギー環境グループマネジャーの奥田氏をお招きし、①導入の取り組みや環境政策の動向、商用化への課題などをテーマに、大阪マスコミ向けの勉強会を実施しました。,①e-メタン
,57,なかま,2024/9/6,【硬式野球部】日本選手権近畿予選の初戦に勝利しました！,日本選手権大会近畿地区最終予選の初戦が9月5日（木）にわかさスタジアム京都で行われました。初戦の対戦相手は①。,①ルネス紅葉スポーツ柔整専門学校
,58,なかま,2024/9/10,【ラグビー部】まもなく開催！2024シーズン（全７節）,9月21日（土）から、Daigas Struggers(ダイガス ストラガーズ）が所属する「①」の公式戦全7戦が始まります。,①ジャパンラグビートップウェストAリーグ
,59,しごと,2024/9/12,資料も掲載！LNG調達・トレーディング勉強会をマスコミ向けに東京支社と開催！,8月8日(木)マスコミ関係者のLNG(液化天然ガス)とそれに関わる当社取り組みへの理解醸成を目的として、①を開催しました。勉強会では、当社のLNG調達やLNGトレーディングに関する戦略、具体的な取り組みについて、資源トレーディング部の藤田 武則部長にプレゼンしていただきました。,①マスコミ向けの勉強会
,60,しごと,2024/9/19,【関西初導入！】コインランドリーでダイナミックプライシング！「wash＋カジスケ谷六店」がリニューアルオープン,OGBCが運営するコインランドリーが8月1日(木)より「wash+カジスケ谷六店」としてリニューアルオープンいたしました。「wash+カジスケ谷六店」の特徴2点をご紹介します！,"①アルカリイオン電解水で洗う 肌と環境に優しい選択
②ダイナミックプライシング(価格変動制）"
,61,なかま,2024/9/20,【能登半島地震への支援金寄付】中央共同募金会より「感謝状」をいただきました,"今年の元日に発生しました「令和6年能登半島地震」では、2024年①の一部(100万円)の計200万円を被災地支援として1月15日（月）にお送りいたしました。9月4日（水）、寄付先の一つ""中央共同募金会""さまより、『感謝状』をいただきましたので、ご報告いたします。",①チャリティーカレンダー募金
,62,なかま,2024/9/25,【硬式野球部】第49回日本選手権予選 ご声援ありがとうございました！,9/2（月）から開幕した第49回社会人野球日本選手権大会近畿地区最終予選。9/19(木）の最終試合では、①と対戦し、9回まで1-1と拮抗した試合が続いていましたが、9回裏で逆転され敗戦という結果で終了、残念ながら予選敗退となりました。,①パナソニック
,63,しごと,2024/9/26,【大阪ガスリキッド】公式インスタグラム開設、タイムリーに情報発信していきます！,①では、8月16日（金）に公式インスタグラムを開設しました！,①大阪ガスリキッド
,64,なかま,2024/9/26,【2人が来日！】インドネシア大学大学院生の「日本語研修」を実施,大阪ガス国際交流財団では、今年度も①大学日本地域研究科の大学院生2人を招へいし、日本語研修を実施しました。来日した研修生のフィカさんとニアさんは、7月9日（火）から8月21日（水）までの約1か月半に渡り、国際交流基金 関西国際センターさまが実施する『日本語学習者訪問研修（大学・大学院制）』に参加、同時期に実施された『カウンターパート学習者訪日研修』に参加する大学生とともに、総勢36人で研修期間を過ごされました。,①インドネシア
,65,しごと,2024/9/27,【大規模災害に備えて】約2000人が総合防災訓練に参加！今年はシナリオレス形式,"Daigasグループでは、毎年9月に社員が参加する総合防災訓練を実施し、大規模災害に備えています。今年は、近畿圏内で最大震度6強の南海トラフ地震が発生したという想定のもと、初動期の災害対応力の向上や意思決定の迅速化などを目的に、訓練を実施しました。Daigasグループの地震防災対策４つ
","①地震に強い設備の普及を促進する「予防対策」
②ガス漏洩による二次災害を防止する「緊急対策」
③供給停止状態から迅速に復旧する「復旧対策」
④津波による二次災害を防止する「津波対策」"
,66,なかま,2024/9/30,【ラグビー部 動画有】開幕戦は敗退するも次戦に期待！,9月21日（土）、2024シーズン開幕戦となる中部電力戦は、13対31(前半7対12）でDaigasStruggersが①しました。,①敗退
,67,しごと,2024/9/30,【530人超が参加！】「ダイガスコロキウム2024」ー第2回目も大盛況,フェロー（研究員）メンバーのステータスアップ（研究テーマ技術のPR）と関連企業とのアライアンス機会の創出を目的として、エネルギー技術研究所の①講演会を1月開催の初回に続き、2回目として「Daigas Group Colloquium 2024（ダイガスコロキウム2024)」と名付けて、9月18日（水）にオービックホールおよびオンラインで開催しました。,①フェロー
,68,しごと,2024/10/1,【産経新聞「昭和100年ダヨ！全品集合」に掲載】第1弾として大阪ガスが紹介！,"来年、2025年は「昭和100年」にあたります。高度成長期で輝いていた昭和時代を彩った懐かしい品物を産経新聞社が特集した企画『①』の第一弾に大阪ガスが全4章で登場しています。
第1章 主婦の心（ハート）に火をつけた台所革命、ガス自動炊飯器
第2章 天ぷら油火災年間4000件に即対応 自動消火機能を搭載したガスコンロ進化の軌跡
第3章 国産「ガス冷蔵庫」を知っていますか？炭酸ガスで鮮度長持ちも安価な電気に破れて敗退
第4章 朝比奈隆さんが初タクト振った「ガスビル」講演場閉館後も残る「食と文化の社交場」の礎",①昭和100年だヨ！全品集合
,69,なかま,2024/10/1,【ラグビー部 動画有】第2節シーズン初勝利！次戦にも期待！,9月28日（土）に開催された、リーグ戦第2節関西丸和ロジスティクスさま（以下、関西丸和）戦は、45-20（前半27-10)で、DaigasStruggersの今シーズン初勝利となりました。,
,70,なかま,2024/10/2,【陸上競技部】新潟県胎内市で陸上教室を開催しました！,9月30日（月）Daigasグループ水澤化学工業株式会社さまの中条工場がある①で陸上教室を開催しました！,①新潟県胎内市
,71,なかま,2024/10/8,【サッカー部】上位対決で敗戦～大阪府社会人サッカー1部リーグ～,9月8日（日）に行われた、大阪社会人サッカー1部リーグの7戦目の対戦相手はリーグ2位のPasion Tyonaka FCさま。,
,72,なかま,2024/10/9,【グレン・アイランド・ビーチで清掃など】OGUSAニューヨーク事務所からボランティアワーク報告,9月19日（木）、OGUSA（Osaka Gas USA Corporation)ニューヨーク事務所のメンバーは、①で、今年度第3回目のボランティア活動を行いました。,①ニューヨーク州ウェストチェスター群グレン・アイランド・ビーチ
,73,しごと,2024/10/10,【働く世代の「介護」の悩みがテーマ】ソーシャルデザインDAYを開催しました,OGNWとDaigasグループ”小さな灯運動”は、グループ従業員の皆さんとともに、地域の社会課題をWell-beingなものとしていくことを目指す「①」に取り組んでいます。昨今、「働きながら介護をする人（ビジネスケアラー）の増加による社会課題が注目されています。そこで、働く世代が抱える「介護」の悩みをテーマにしたセミナーやワークショップを開催しました。,①ソーシャルデザインDAY
,74,しごと,2024/10/11,【10/25開催】OGNWの熱き戦い「技能選手権」ー今年20回目！,10月25日（金）に、「①」を開催します。現場で活躍する社員の技能向上を目的に開催している本選手権は、2004年の第1回大会（緊急保安部門のみ）から数えて今年で20回目を迎えます。各地区から選抜されて総勢69人のOGNW社員が、7つの競技部門で日々の業務や訓練を通じて磨き上げた技能を競い合います。,①OGNW技能選手権2024
,75,経営,2024/10/15,「Daigasグループ　統合報告書2024を公開,9月25日（水）に、「Daigasグループ統合報告書2024」を公開しました。,資料参照
,76,なかま,2024/10/17,【ラグビー部 動画有】快挙！昨年度王者に勝利して2連勝?,10月12日（土）に開催された、リーグ戦第3節 大阪府警察さま（以下、府警）戦は、20-19(前半10-12)で、Daigas Struggersの劇的な逆転勝利で①となりました。,①2連勝
,77,なかま,2024/10/21,【ロンドンを快走！】チャリティランに初参加！Osaka Gas Uk,"Osaka Gas UK(以下OGUK）は、9月26日（木）にロンドンで開催されたブルームバーグ主催のチャリティリレー大会に初めて参加しました。今年4月以降に6人の新メンバーが加わったOGUKは""①""を掲げてチームビルディングに取り組んでいます。",①One Team
,78,しごと,2024/10/22,＼「がす燈」が快挙！／「社内報アワード」で初のゴールド賞グランプリ（最優秀賞）を受賞！,いつも皆さんにご愛読にご愛読いただいております「がす燈」が、「①」において、見事ゴールド賞グランプリを受賞しました。昨年までの3年連続シルバー賞受賞に続いてのゴールド賞受賞となり、これは当社のみの快挙です。,①社内報アワード2024（ウィズワークス（株）主催）
,79,しごと,2024/10/24,2024年度チャレンジ制度「人材公募」実施中！（大阪ガス社員対象）,現在、大阪ガス社員を対象に2024年度チャレンジ制度「①」を実施しています。「人材公募」は、特定の仕事に自ら手を挙げてチャレンジする人材を求める制度です。人材補充が必要な部署とその部署で働きたい意思と能力を持つ従業員とのマッチングの機会となります。,①人材公募
,80,経営,2024/10/28,"藤原社長がご見学！Daigasグループ""技術開発組織""",10月1日（火）、酉島および舞洲地区にて、藤原社長がDaigasグループの技術開発を担う各組織の実験場などを訪問し、最新技術の開発状況をご覧になりました。各技術開発組織から、①関連の取り組みや製品の効率・性能向上、品質向上に資する研究開発について、開発品や実機をお見せしながらの報告を行いました。,①カーボンニュートラル
,81,しごと,2024/10/29,【「ATHOS LNG」竣工】新造LNG船、2024年9月より、傭船開始,9月30日（月）、大阪ガスインターナショナルトランスポート（以下、OGIT）が新たに傭船する新造LNG船「①」が竣工いたしました。竣工に先立ち、9月25日（水）には韓国サムスン重工業巨済（コジェ）造船所にて命名式が執り行われ、OGITの藤田 武則代表取締役社長をはじめとする多くの関係者が出席しました。,①ATHOS LNG(アトス・エルエヌジー）
,82,なかま,2024/10/31,【ラグビー部 動画有】快進撃！昨年度2位に勝利して3連勝！,10月26日（土）に開催された、リーグ戦第4節島津製作所Breakersさま（以下、島津）戦は、33-12(前半19-0)で、Daigas　Struggers（以下、Daigas）の勝利で①となりました。,①3連勝
,83,しごと,2024/10/31,放映中！DaigasグループブランドCM「再生可能エネルギー篇」,"このCMでは、Daigasグループ""革新的な”事業・サービスをPRの題材として取り上げています。今回放映を開始した「①」に続き、2025年度には「研究開発力篇」の放映を予定しています。",①再生可能エネルギー篇
,84,しごと,2024/11/1,2024年度グッドデザイン賞受賞！「シーンズ京都賀茂川」,2023年12月に京都市北区にて竣工した新築分譲マンション「①」が、2024年度グッドデザイン賞を受賞しました,①シーンズ京都賀茂川
,85,しごと,2024/11/1,【健康づくり料理講習会を開催】～大阪ガスクッキングスクール淀屋橋,大阪ガス本社ビル1階フラムテラス内にある大阪ガスクッキングスクール淀屋橋にて、大阪ガスグループ福祉財団主催の①を開催しました。大阪ガスグループ福祉財団は、高齢者のかたがたの健康の維持・増進のため、健康や食に関する情報提供や身体活動・運動の指導など、様々な活動を実施されています。,①健康づくり料理講習
,86,なかま,2024/11/6,【ラグビー部 動画有】怒涛の4連勝！荒天での激戦を制し１敗死守?,11月2日（土）に開催された、リーグ戦第5節豊田通商BLUE WINGさま（以下、豊通）戦は、31-7(前半21-0)で、Daigas Struggers（以下、Daigas）の勝利で4連勝となりました。,
,87,なかま,2024/11/7,【11/2テレビ放映】ジモト魂に坂井選手が出演！,11/2（土）BS朝日で放映された「①」に、坂井 隆一選手（OGM人事総務部）が出演されました。,①ジモト魂～アスリート達の原点～
,88,しごと,2024/11/13,Daigasグループ最大の動画プラットフォーム?「エナTube」！,エナジーソリューション事業部では、動画配信プラットフォーム「①」を運営しています。コロナ渦では、直接会って話すことが難しい環境であったため、メンバー間のコミュニケーションの促進を目的として2022年7月にスタートしました。,①エナTube
,89,しごと,2024/11/14,【動画で知ろう～概要から活用方法まで！～】「統合報告書2024」,統合報告書とは何か？から掲載内容や活用方法までを簡単にまとめた動画になっています,動画参照
,90,なかま,2024/11/20,【陸上競技部】ニューイヤー駅伝出権獲得！「第67回関西実業団対抗駅伝競走大会」3位入賞！,11月10日（日）に和歌山県田辺市龍神村で開催された「第67回関西実業団対抗駅伝競走大会」にて、大阪ガス陸上競技部が3位入賞を果たし、2025年元日に行われる「①」の出場権を獲得しました。,①2025全日本実業団対抗駅伝（ニューイヤー駅伝）
,91,なかま,2024/11/20,【ラグビー部 動画有】圧倒的勝利で5連勝！３地域社会人リーグ出場へ望みつなぐ！,11月16日（土）に開催された、リーグ戦第6節ユニチカフェニックスさま（以下、ユニチカ）戦は、61対5(前半26対0）で、Daigas Struggersの勝利で5連勝となりました。,
,92,しごと,2024/11/25,防災広報イベント 「消防ちびっこひろば」に出展,11月3日（日）、東消防署主催の防火広報イベント「①」に大津ガスサービスセンター（以下、OGSC）とともに参加しました。,①消防ちびっこひろば
,93,なかま,2024/11/26,【ヒューストンを快走！Hess Houston】Corporate 5Kに参加！OGUSA Houston(ヒューストン事務所）,OGUSAヒューストン事務所とSabine Oil＆Gas Corporation(サビン社）は、ヒューストン市内にあるメモリアルパークで開催された①に共同参加しました。,①第8回Hess Houston Corporate 5k
