判定,No.,掲載月日,会社,プレスタイトル,問題,解答,,,,,
,11,2024/8/27,その他,単身女性の不動産購入に関する調査,"単身女性の約半数が不動産購入を検討！うち7割以上が結婚に関わらず欲しいと回答。さらに、約半数が中古マンションのリノベーションを視野に！
「立地」「周辺環境」「価格」などの重視ポイントを叶えながら、自分好みにできる【①】が人気！",①オーダーリノベーション,,,,,
,12,2024/8/29,その他,さくら情報システム株式会社、世界有数のエンタープライズクラウドマーケットプレイスであるSalesforce AppExchangeへのコンサルタント登録を発表,さくら情報システム株式会社は8月、Salesforce AppExchangeにコンサルタントとして登録されたことを発表しました。これにより、お客様は特定のビジネスニーズに合った最適なSalesforce認定コンサルタントとつながることができます。Salesforce導入コンサルティングから、開発・運用保守などのエンジニア領域までトータルでサポートし、お客様のDX推進に貢献します。,,,,,,
,13,2024/8/29,大阪ガス,2024年10月ガス料金の原料費調整について,"大阪ガス株式会社は、2024年5月～2024年7月の平均原料価格に基づき、政府による「【①】」を踏まえ、2024年10月検針分の一般料金に適用する単位料金を以下の通り調整いたします。この調整により今月の標準家庭におけるガス料金は5,983円（税込）になります。",①酷暑乗り切り緊急支援,,,,,
,14,2024/8/30,その他,当社賃貸マンション「アーバネックス」の新築物件にて最大概ね10GbpsGbpsの「フレッツ光クロス全戸加入プラン」を新規導入,,,,,,,
,15,,,,,,,,,,
,16,,,,,,,,,,
,17,,,,,,,,,,
,18,,,,,,,,,,
,19,,,,,,,,,,
,20,,,,,,,,,,
,21,,,,,,,,,,
,22,,,,,,,,,,
,23,,,,,,,,,,
,24,,,,,,,,,,
,25,,,,,,,,,,
,26,,,,,,,,,,
,27,,,,,,,,,,
,28,,,,,,,,,,
,29,,,,,,,,,,
,30,,,,,,,,,,
,31,,,,,,,,,,
,32,,,,,,,,,,
,33,,,,,,,,,,
,34,,,,,,,,,,
,35,,,,,,,,,,
,36,,,,,,,,,,
,37,,,,,,,,,,
,38,,,,,,,,,,
,39,,,,,,,,,,
,40,,,,,,,,,,
,41,,,,,,,,,,
,42,,,,,,,,,,
,43,,,,,,,,,,
,44,,,,,,,,,,
,45,,,,,,,,,,
,46,,,,,,,,,,
,47,,,,,,,,,,
,48,,,,,,,,,,
,49,,,,,,,,,,
,50,,,,,,,,,,
,51,,,,,,,,,,
,52,,,,,,,,,,
,53,,,,,,,,,,
,54,,,,,,,,,,
,55,,,,,,,,,,
,56,,,,,,,,,,
,57,,,,,,,,,,
,58,,,,,,,,,,
,59,,,,,,,,,,
,60,,,,,,,,,,
,61,,,,,,,,,,
,62,,,,,,,,,,
,63,,,,,,,,,,
,64,,,,,,,,,,
,65,,,,,,,,,,
,66,,,,,,,,,,
,67,,,,,,,,,,
,68,,,,,,,,,,
,69,,,,,,,,,,
,70,,,,,,,,,,
,71,,,,,,,,,,
,72,,,,,,,,,,
,73,,,,,,,,,,
,74,,,,,,,,,,
,75,,,,,,,,,,
,76,,,,,,,,,,
,77,,,,,,,,,,
,78,,,,,,,,,,
,79,,,,,,,,,,
,80,,,,,,,,,,
,81,,,,,,,,,,
,82,,,,,,,,,,
,83,,,,,,,,,,
,84,,,,,,,,,,
,85,,,,,,,,,,
,86,,,,,,,,,,
,87,,,,,,,,,,
,88,,,,,,,,,,
,89,,,,,,,,,,
,90,,,,,,,,,,
,91,,,,,,,,,,
,92,,,,,,,,,,
,93,,,,,,,,,,
,94,,,,,,,,,,
,95,,,,,,,,,,
