判定,No.,掲載月日,会社,プレスタイトル,問題,解答,,,,,
,12,2024/7/26,Daigasエナジー,本邦初、メガソーラー規模の営農放牧型太陽光発電システム導入～電力購入に係る基本合意書を締結～,"株式会社①、株式会社②、大阪ガス株式会社は、7月26日付で③発電所に係る基本合意書を締結いたしました。メガソーラー規模の営農放牧型太陽光発電システム（ソーラーグレージング）導入と電力購入契約は、本邦で初めてとなります。①は、本発電所に由来する環境価値（非FIT非化石証書）を大阪ガスから長期調達し、賃借ビルで使用する電力の実質再エネ化に活用することで、国内残存排出量の約【④】%に相当する年間約【⑤】トンの温室効果ガスを【⑥】年間に渡り削減します。
ソーラーグレージングとは、太陽光発電事業と営農放牧事業を組み合わせたもので、羊などの家畜による除草作業を含む植生管理方法を採用した太陽光発電事業です。
   営農放牧事業を発電事業者から受託する営農放牧事業者は、太陽光発電所の敷地内で羊を放牧し、植生管理サービスを提供することにより収入を得ます。発電事業者は、羊による「自然草刈り」を利用することで太陽光パネル間に繁茂する雑草を抑制できます。羊にとっては、クローバーなどの雑草を容易に摂ることができるほか、パネルの日陰で暑さを凌ぐことができるというメリットがあります。","①三菱UFJ銀行
②町おこしエネルギー
③白糠（しらぬか）ソーラーグレージング発電所
④20
⑤8千トン
⑥20",,,,,
,13,2024/7/29,大阪ガス,「木質等の未利用資源を活用したバイオものづくりエコシステム構築事業」がNEDOバイオものづくり革命推進事業に採択,"①株式会社、株式会社②、③株式会社、株式会社④、大阪ガス株式会社、⑤株式会社の6社は、NEDO（国立研究開発法人新エネルギー・産業技術総合開発機構）が公募した「【⑥】推進事業」に対し、「木質等の未利用資源を活用したバイオものづくりエコシステム構築事業」を共同提案し、実施予定先として採択された。
 本プロジェクトは、経済産業省が定める「【⑥】推進事業研究開発計画」に基づき、【⑦】を原料とした既存の製造プロセスから、【⑧】をベースとした製造プロセスへと転換することを目指すものです。持続可能な原料の開発、微生物の育種、培養・分離・精製・加工プロセスの開発および生産実証を一貫して実施するという目標のもと、6社がこれまでに培ってきた知見や技術を結集し、原料・微生物・素材等に関わる技術開発を行い、多種多様な技術や製品の社会実装を目指します。","①  王子ホールディングス
②バッカス・バイオイノベーション
③日揮ホールディングス
④ENEOSマテリアル
⑤東レ
⑥バイオものづくり革命
⑦化石資源
⑧バイオマス",,,,,
,14,2024/7/29,その他,「ITトレンドEXPO2024 Summer」に生産スケジューラ「FLEXSCHE」、 AI異常予兆検知システム構築サービス「SAILESS」を出展（9/18～20 オンライン）,,,,,,,
,15,2024/7/29,大阪ガス,2025年3月期（第207期）第1四半期決算について,"＜第1四半期の決算概要＞
・売上高：ガス販売単価が前年同期に比べて低めに推移したため、【①】
・経常利益：国内エネルギー事業における原料価格の変動が販売単価に反映されるまでのタイムラグによる増益収益の縮小により、【②】
＜セグメント別の利益＞
・国内エネルギー事業：【③】
・海外エネルギー事業：円安による為替影響などにより【④】
・ライフ＆ビジネス ソリューション事業：概ね前年同四半期並み（材料ソリューション事業で増益、情報ソリューション事業などで減益）
＜国内ガス販売実績＞
・国内の連結ガス販売量[45MJ/m3]：前年同期を下回り
・家庭用のガス販売量：高気水温の影響などにより、前年同期を下回り
・業務用等のガス販売量は：特定のお客さま先での設備稼働減などにより、前年同期を下回り
＜国内電力販売実績＞
・国内の電力販売量：小売と卸等がともに増加し、前年同期を上回り","①減収
②減益
③減益
④増益",,,,,
,16,2024/7/30,大阪ガス,2024年9月ガス料金の原料費調整について,"大阪ガス株式会社は、2024年4月～2024年6月の平均原料価格に基づき、政府による【①】を踏まえ、2024年9月検針分の一般料金に適用する単位料金を以下の通り調整いたします。この調整により今月の標準家庭におけるガス料金は5,916円（税込）になります。",①酷暑乗り切り緊急支援,,,,,
,17,2024/7/31,大阪ガス,全国でソーシャルコワーキング事業を展開する株式会社ATOMicaとの資本提携について,"   大阪ガスは、【①】事業を柱として、地域の多種多様なパートナーが保有する場に対してコワーキング施設をプロデュース・運営する株式会社【②】に、7月30日に出資いたしました。今後、【③】の共創パートナーとして【②】との連携を進めてまいります。
　Daigasグループは、中期経営計画2026において「【③】の共創」を掲げています。地域に根差したエネルギーインフラ企業として、小学生等を対象にしたエネルギー環境教育、防災教育等に加え、スポーツを通じた地域貢献、地域自治体と連携した低・脱炭素な街づくりの推進等を積極的に行っています。さらに、デジタル技術を活用し、お客さまと関西の飲食店をつなぐデジタルチケットサービス「【④】」や、現地消費型のふるさと納税である「【⑤】」の提供等、リアル・デジタルを連携させ、地域共生社会の実現や地域やコミュニティの活性化、持続可能な社会に資する活動を進めています。","①ソーシャルコワーキング
②ATOMica
③地域共生社会
④いっとくパス
⑤関西おでかけ納税",,,,,
,18,2024/7/31,大阪ガス,浮体式洋上風力技術研究組合（FLOWRA）に加入～大規模商用化に資する技術開発やコスト・リスクの低減を目指して～,"　大阪ガスは、本日「浮体式洋上風力技術研究組合（【①】）」に加入しましたので、お知らせします。
   浮体式洋上風力発電は、水深が深い海域にも設置が可能で安定したエネルギー供給源として注目が集まる一方、今後の普及にはコストやリスクの低減等の課題があります。【①】は、浮体式洋上風力発電の広域かつ大規模な商用化実現に向け、複数の発電事業者等がコストとリスクを低減させるテーマや技術開発を促進させるテーマ等に共同で取り組むことにより、カーボンニュートラル社会の実現に寄与するとともに、海外市場も視野に入れた国内産業の創出に資することを目的に、2024年3月に設立されました。
　当社は浮体式洋上風力発電事業として、海洋再生可能エネルギー発電設備の整備に係る海域の利用の促進に関する法律に基づく「長崎県五島市沖洋上風力発電事業」に参画しており、そこで得られた知見や経験も活かし、【①】に参画する事業者と連携して浮体式洋上風力発電の課題に取り組んでまいります。",①FLOWRA,,,,,
,19,,,,,,,,,,
,20,,,,,,,,,,
,21,,,,,,,,,,
,22,,,,,,,,,,
,23,,,,,,,,,,
,24,,,,,,,,,,
,25,,,,,,,,,,
,26,,,,,,,,,,
,27,,,,,,,,,,
,28,,,,,,,,,,
,29,,,,,,,,,,
,30,,,,,,,,,,
,31,,,,,,,,,,
,32,,,,,,,,,,
,33,,,,,,,,,,
,34,,,,,,,,,,
,35,,,,,,,,,,
,36,,,,,,,,,,
,37,,,,,,,,,,
,38,,,,,,,,,,
,39,,,,,,,,,,
,40,,,,,,,,,,
,41,,,,,,,,,,
,42,,,,,,,,,,
,43,,,,,,,,,,
,44,,,,,,,,,,
,45,,,,,,,,,,
,46,,,,,,,,,,
,47,,,,,,,,,,
,48,,,,,,,,,,
,49,,,,,,,,,,
,50,,,,,,,,,,
,51,,,,,,,,,,
,52,,,,,,,,,,
,53,,,,,,,,,,
,54,,,,,,,,,,
,55,,,,,,,,,,
,56,,,,,,,,,,
,57,,,,,,,,,,
,58,,,,,,,,,,
,59,,,,,,,,,,
,60,,,,,,,,,,
,61,,,,,,,,,,
,62,,,,,,,,,,
,63,,,,,,,,,,
,64,,,,,,,,,,
,65,,,,,,,,,,
,66,,,,,,,,,,
,67,,,,,,,,,,
,68,,,,,,,,,,
,69,,,,,,,,,,
,70,,,,,,,,,,
,71,,,,,,,,,,
,72,,,,,,,,,,
,73,,,,,,,,,,
,74,,,,,,,,,,
,75,,,,,,,,,,
,76,,,,,,,,,,
,77,,,,,,,,,,
,78,,,,,,,,,,
,79,,,,,,,,,,
,80,,,,,,,,,,
,81,,,,,,,,,,
,82,,,,,,,,,,
,83,,,,,,,,,,
,84,,,,,,,,,,
,85,,,,,,,,,,
,86,,,,,,,,,,
,87,,,,,,,,,,
,88,,,,,,,,,,
,89,,,,,,,,,,
,90,,,,,,,,,,
,91,,,,,,,,,,
,92,,,,,,,,,,
,93,,,,,,,,,,
,94,,,,,,,,,,
,95,,,,,,,,,,
